num	attraction	ranking	rating	review_num	address	street	locality	category	phone	duration	hours	neighborhood	description	tags	languages	sitelink
11	Westminster Abbey	#11	4.5	18,978	20 Dean's Yard | Broad Sanctuary, London SW1P 3PA, England	20 Dean's Yard	London SW1P 3PA, 	 Architectural Buildings, Sacred & Religious Sites, Historic Sites, Sights & Landmarks, More 	+44 20 7222 5152	"missing"	"missing"	Westminster	"missing"	audio guide; buried here; coronation chair; jeremy irons; unknown soldier; mary queen of scots; isaac newton; lady chapel; verger tour; evensong service; royal wedding; beautiful church; london pass; british history; historical figures; no photography; awe inspiring	English (11,375); Spanish (1,874); Italian (1,736); Portuguese (1,411); French (1,074); German (467); Japanese (313); Russian (234); Dutch (126); Chinese (Sim.) (116); Chinese (Trad.) (113); Korean (71); Swedish (44); Danish (43); Polish (27); Czech (20); Greek (20); Norwegian (17); Hebrew (12); Thai (11); Turkish (11); Finnish (9); Arabic (7); Hungarian (6); Indonesian (5); Slovak (3); Serbian (2)	/Attraction_Review-g186338-d189032-Reviews-Westminster_Abbey-London_England.html
12	Sky Garden	#12	4.5	9,928	20 Fenchurch Street | 1 Sky Garden Walk, London EC3M 8AF, England	20 Fenchurch Street	London EC3M 8AF, 	 Observation Decks & Towers, Sights & Landmarks	+44 333 772 0020	"missing"	"missing"	"missing"	"missing"	darwin brasserie; walkie talkie building; fenchurch street; photo id; free view; free visit; free tickets; airport style security; free attraction; time slot; degree view; views are amazing; viewing area; security check; london skyline; london eye; tower bridge	English (7,144); Spanish (727); Italian (696); French (449); German (217); Portuguese (204); Dutch (94); Chinese (Sim.) (77); Chinese (Trad.) (77); Russian (58); Korean (54); Japanese (46); Swedish (37); Polish (36); Danish (33); Hebrew (25); Czech (16); Norwegian (15); Greek (11); Hungarian (11); Finnish (9); Arabic (7); Indonesian (6); Turkish (6); Serbian (2); Slovak (2); Thai (1)	/Attraction_Review-g186338-d7398968-Reviews-Sky_Garden-London_England.html
13	Natural History Museum	#13	4.5 	29,928	Cromwell Road | South Kensington, London SW7 5BD, England	Cromwell Road	London SW7 5BD, 	 History Museums, Natural History Museums, Museums	+44 20 7938 9123	Suggested Duration: More than 3 hours	Closed Now Sun - Sat10:00 AM - 5:50 PMHours Hours Today: 10:00 AM - 5:50 PM	South Kensington	A center of scientific excellence in the discovery of taxonomy and biodiversity, this world-famous museum promotes the discovery and enjoyment of the natural world through such exciting exhibits as the Life and Earth Galleries, wildlife garden and geological collections.	blue whale; t rex; dinosaur section; stuffed animals; human body; main hall; all ages; free entry; beautiful building; great for kids; half term; few hours; long queue; rainy day; on display; exhibits; mammals	English (18,563); Italian (2,942); Spanish (2,474); Portuguese (2,143); French (1,780); German (399); Dutch (287); Russian (234); Japanese (177); Polish (169); Greek (155); Swedish (113); Chinese (Sim.) (108); Chinese (Trad.) (104); Danish (103); Korean (87); Norwegian (67); Turkish (42); Finnish (35); Hebrew (29); Czech (17); Arabic (16); Hungarian (12); Thai (11); Indonesian (10); Slovak (5)	/Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html
20	Buckingham Palace	#20	4.5	23,113	Buckingham Palace Road, London SW1A 1AA, England	Buckingham Palace Road	London SW1A 1AA, 	 Castles, Historic Sites, Gardens, Points of Interest & Landmarks, Sights & Landmarks, Nature & Parks, More 	+44 303 123 7300	"missing"	"missing"	Westminster	"missing"	state rooms; queens gallery; throne room; queen lives; garden cafe; wedding dress; her majesty; own pace; open to the public; audio guide; st james park; gift shop; green park; on display; time slot; take photos; visit london	English (14,047); Portuguese (1,970); Spanish (1,841); Italian (1,777); French (1,288); German (494); Japanese (491); Dutch (222); Russian (168); Chinese (Sim.) (157); Chinese (Trad.) (150); Korean (146); Swedish (106); Polish (88); Greek (71); Danish (55); Norwegian (48); Turkish (47); Arabic (25); Hebrew (25); Indonesian (24); Czech (21); Hungarian (14); Finnish (10); Slovak (7); Thai (7); Serbian (2); Vietnamese (1)	/Attraction_Review-g186338-d187549-Reviews-Buckingham_Palace-London_England.html
14	St. Paul's Cathedral	#14	4.5 	13,413	St Paul's Churchyard, London EC4M 8AD, England	St Paul's Churchyard	London EC4M 8AD, 	 Churches & Cathedrals, Sights & Landmarks	+44 20 7236 4128	Suggested Duration: 1-2 hours	Closed Now Mon - Sat8:30 AM - 4:30 PMHours Hours Today: 8:30 AM - 4:30 PM	City of London	"Rebuilt by Christopher Wren after the great Fire of 1666, St. Paul''s has been the site of many historic state occasions; including Sir Winston Churchill''s state funeral and the Royal Wedding of Prince Charles and Lady Diana Spencer. A busy working Christian community with several daily services at which all are welcome.
St Paul’s also welcomes visitors with access to five levels of the Cathedral including the Whispering Gallery with its unique acoustics and the Stone and Golden Galleries atop the Dome offering breathtaking panoramic views over London. Multimedia guides in eight languages for adults and children are included with sightseeing admission as well as free guided tours to join upon arrival."	whispering gallery; golden gallery; christopher wren; climb the stairs; worth the climb; audio guide; entrance fee; beautiful building; well worth the effort; awe inspiring; millennium bridge; take photos; take your time; london pass; london eye; architecture; choir	English (8,544); Spanish (1,065); Italian (1,002); Portuguese (899); French (624); German (322); Japanese (243); Russian (183); Dutch (143); Chinese (Sim.) (106); Chinese (Trad.) (105); Korean (93); Danish (57); Swedish (53); Norwegian (26); Greek (25); Polish (19); Czech (16); Turkish (10); Hebrew (9); Indonesian (6); Arabic (5); Hungarian (5); Slovak (5); Thai (4); Finnish (2)	/Attraction_Review-g186338-d188159-Reviews-St_Paul_s_Cathedral-London_England.html
15	Camden Market	#15	4.5	24,224	Camden Lock Place, London NW1 8AF, England	Camden Lock Place	London NW1 8AF, 	 Flea & Street Markets, Shopping	+44 20 3763 9999	"missing"	"missing"	"missing"	"missing"	food stalls; stalls selling; great market; little venice; for sale; worth a visit; great place to visit; tube station; goth; clothing; stables; bargains; punk; haggle; shop; trinkets; vendors	English (11,511); Italian (3,224); Spanish (3,087); French (2,824); Portuguese (1,383); German (776); Dutch (314); Swedish (247); Danish (142); Chinese (Sim.) (131); Chinese (Trad.) (131); Japanese (119); Russian (109); Norwegian (83); Greek (65); Polish (65); Hebrew (61); Korean (54); Turkish (42); Czech (16); Arabic (14); Hungarian (14); Finnish (13); Indonesian (6); Slovak (5); Thai (4); Serbian (1)	/Attraction_Review-g186338-d187577-Reviews-Camden_Market-London_England.html
16	Big Ben	#16	4.5	28,177	 | Elizabeth Tower - Houses of Parliament, Westminster, London SW1A 0AA, England	"missing"	London SW1A 0AA, 	 Points of Interest & Landmarks, Sights & Landmarks	+44 20 7219 3000	"missing"	"missing"	Westminster	"missing"	clock tower; elizabeth tower; big clock; london eye; westminster bridge; iconic landmark; visit london; other attractions; beautiful building; take pictures; chimes; symbol; scaffolding; mp; architecture; tourists; monument	English (12,904); Portuguese (3,697); Spanish (3,675); Italian (3,040); French (1,796); German (566); Japanese (472); Russian (391); Dutch (269); Korean (255); Chinese (Sim.) (231); Chinese (Trad.) (223); Swedish (190); Polish (151); Greek (138); Danish (84); Turkish (74); Norwegian (67); Arabic (64); Hebrew (44); Czech (34); Finnish (23); Indonesian (21); Thai (18); Hungarian (13); Slovak (8); Vietnamese (4); Serbian (3)	/Attraction_Review-g186338-d211709-Reviews-Big_Ben-London_England.html
17	Covent Garden	#17	4.5	18,910	Covent Garden, London WC2E 9DD, England	Covent Garden	London WC2E 9DD, 	 Flea & Street Markets, Points of Interest & Landmarks, Sights & Landmarks, Shopping	+44 20 7420 5856	Suggested Duration: 1-2 hours	Closed Now Sun12:00 PM - 6:00 PMMon - Fri10:00 AM - 8:00 PMSat9:00 AM - 8:00 PMHours Hours Today: 10:00 AM - 8:00 PM	Covent Garden	Filled with restaurants, bars, markets and boutiques, London's premier tourist center offers fabulous shopping by day, and the destination of theatergoers and patrons of the Royal Opera House by night.	street performers; market stalls; transport museum; opera singers; jubilee market; apple store; lots of shops; royal opera house; great shopping; great place to visit; leicester square; worth a visit; walk around; few hours; jugglers; vendors; tourists	English (11,300); Italian (1,755); Spanish (1,743); French (1,412); Portuguese (1,002); German (347); Dutch (307); Japanese (210); Swedish (136); Chinese (Sim.) (123); Chinese (Trad.) (123); Korean (114); Danish (95); Russian (77); Greek (70); Turkish (67); Norwegian (62); Hebrew (40); Arabic (29); Polish (22); Czech (9); Hungarian (8); Finnish (7); Indonesian (7); Thai (7); Slovak (3)	/Attraction_Review-g186338-d189047-Reviews-Covent_Garden-London_England.html
18	London Underground	#18	4.5	30,068	London SW1H 0TL, England	"missing"	London SW1H 0TL, 	 Mass Transportation Systems, Transportation	+44 343 222 1234	"missing"	"missing"	Westminster	"missing"	an oyster card; rush hour; tube map; transport system; oysters; contactless card; day pass; heathrow airport; tubes; zones; tfl; platform; journey; travelcard; stops; signage; pounds	English (19,496); Italian (2,314); Spanish (2,223); French (1,578); Portuguese (1,283); German (731); Dutch (508); Japanese (419); Swedish (257); Russian (224); Chinese (Sim.) (180); Danish (173); Chinese (Trad.) (169); Korean (152); Norwegian (141); Polish (92); Greek (83); Hebrew (65); Turkish (59); Finnish (43); Czech (31); Arabic (29); Hungarian (17); Indonesian (11); Slovak (9); Thai (8); Serbian (2)	/Attraction_Review-g186338-d187536-Reviews-London_Underground-London_England.html
19	The View from The Shard	#19	4.5 	14,651	Joiner Street, London SE1, England	Joiner Street	London SE1, 	 Architectural Buildings, Observation Decks & Towers, Points of Interest & Landmarks, Sights & Landmarks, More 	+44 844 499 7111	Suggested Duration: 1-2 hours	Closed Now Sun - Sat10:00 AM - 10:00 PMHours Hours Today: 10:00 AM - 10:00 PM	Southwark	The View from The Shard is the visitor attraction at the top of The Shard, the tallest building in Western Europe and London's newest landmark. At almost twice the height of any other viewing platform in London, it offers visitors spectacular 360 degree views over the UK's capital for up to 40 miles (60 km).	viewing platform; glass of champagne; green screen; london eye; london bridge station; views are amazing; time slot; sunny day; birthday treat; borough market; well worth the money; telescope; tickets; queue; cloudy; clouds; loo	English (12,536); Italian (641); French (406); Spanish (262); German (233); Portuguese (206); Chinese (Sim.) (91); Chinese (Trad.) (90); Dutch (76); Russian (56); Japanese (52); Swedish (40); Korean (21); Danish (19); Norwegian (19); Polish (15); Greek (13); Czech (11); Turkish (7); Finnish (5); Hungarian (5); Indonesian (5); Hebrew (4); Slovak (2); Arabic (1); Thai (1)	/Attraction_Review-g186338-d3539289-Reviews-The_View_from_The_Shard-London_England.html
130	London Buses	#158	4.5	239	London SW1H 0TL, England	"missing"	London SW1H 0TL, 	 Mass Transportation Systems, Transportation	+44 343 222 1234	"missing"	"missing"	Westminster	"missing"	top deck; oyster card; red double decker buses; trafalgar square; means of transportation; finsbury park; bank card; bus trip; tower hill; red bus; kings cross; oysters; travel card; marble arch; rush hour; underground station; recent trip to london	English (156); Chinese (Sim.) (43); Chinese (Trad.) (40); Italian (20); Japanese (13); French (9); German (9); Spanish (8); Portuguese (6); Russian (4); Czech (1); Greek (1); Norwegian (1); Slovak (1)	/Attraction_Review-g186338-d507142-Reviews-London_Buses-London_England.html
21	Coca-Cola London Eye	#21	4.5 	71,485	Westminster Bridge Road | Riverside Building, County Hall, London SE1 7PB, England	Westminster Bridge Road	London SE1 7PB, 	 Observation Decks & Towers, Points of Interest & Landmarks, Sights & Landmarks	+44 870 990 8883	Suggested Duration: 1-2 hours	Closed Now Sun - Sat11:00 AM - 6:00 PMHours Hours Today: 11:00 AM - 6:00 PM	"missing"	Enjoy the best views of London from the world famous London Eye. The 360 degree views of historic London are not to be missed.	fast track; ferris wheel; champagne experience; fast pass; afraid of heights; views are amazing; long queue; big ben; sunny day; great attraction; other attractions; visit london; buckingham palace; pod; capsule; ride; tickets	English (43,590); Portuguese (6,517); Spanish (6,124); Italian (5,688); French (3,450); German (1,692); Russian (812); Dutch (690); Swedish (449); Japanese (405); Danish (340); Chinese (Sim.) (330); Chinese (Trad.) (307); Norwegian (295); Korean (218); Polish (210); Greek (187); Turkish (174); Hebrew (110); Arabic (89); Finnish (56); Czech (50); Hungarian (31); Slovak (25); Thai (20); Indonesian (18); Serbian (5)	/Attraction_Review-g186338-d553603-Reviews-Coca_Cola_London_Eye-London_England.html
22	Brick Lane Music Hall	#29	5.0	1,069	443 North Woolwich Road, London E16 2DA, England	443 North Woolwich Road	London E16 2DA, 	 Theaters, Concerts & Shows	+44 20 7511 6655	"missing"	"missing"	"missing"	"missing"	afternoon tea; old church; vincent hayes; christmas show; adult panto; sandwiches and cakes; christmas lunch; wonderful afternoon; audience participation; front of house; singing and dancing; my mum; great fun; west end; pantomime; cast; jokes	English (1,045); Portuguese (11); Russian (7); Italian (2); Korean (2); Danish (1); Japanese (1); Norwegian (1); Spanish (1)	/Attraction_Review-g186338-d2644560-Reviews-Brick_Lane_Music_Hall-London_England.html
23	Harrods	#38	4.0	14,851	87-135 Brompton Road, London SW1X 7XL, England	87-135 Brompton Road	London SW1X 7XL, 	 Department Stores, Points of Interest & Landmarks, Sights & Landmarks, Shopping	+44 20 7730 1234	Suggested Duration: 2-3 hours	Closed Now Sun11:30 AM - 6:00 PMMon - Sat10:00 AM - 9:00 PMHours Hours Today: 10:00 AM - 9:00 PM	Knightsbridge	Harrods remains at the height of British luxury retail, attracting millions of loyal customers from across the globe with its unrivalled product selection, world-class service, innovative retail theatre and historic setting. The store was opened in 1849 by Charles Henry Harrod as an expansion of his humble East End grocery and tea business. Today, it is one of the most distinguished names in the world. Seven floors and 330 departments showcase the best of luxury merchandise, from high-end fashion and accessories to the finest homewares and the latest technology. There are 28 restaurants in-store; we continue to enhance our portfolio with Galvin Demoiselle, Bentley's Sea Grill, and the institution that is The Georgian. Customers enjoy a wealth of exclusive services, such as By Appointment Personal Shopping and The Penthouse, a private suite dedicated to unsurpassed bespoke service in a beautiful environment. Other departments include the Urban Retreat at Harrods spa, a theatre ticket bureau, and The Studio, the store's interior-design service. Qatar Holding acquired the business in 2010, and it continues to guide - and invest strongly in - the store according to its philosophy: Anything is possible. Harrods continuously seeks to surpass the desires and expectations of its customers, staying true to its original motto: Omnia omnibus ubique (everything for everyone, everywhere). Harrods is located on Brompton Road, near the Knightsbridge London Underground station.	food hall; department store; egyptian escalator; toy kingdom; food court is; christmas shop; beautiful store; food section; shopping experience; window shopping; buy something; princess diana; afternoon tea; under one roof; worth a visit; for sale; visit london	English (8,823); Italian (1,760); Spanish (1,031); French (937); Portuguese (695); German (415); Japanese (274); Dutch (256); Chinese (Sim.) (138); Chinese (Trad.) (137); Swedish (131); Russian (115); Greek (60); Danish (45); Arabic (44); Norwegian (44); Turkish (35); Korean (34); Polish (26); Finnish (15); Hebrew (7); Thai (6); Czech (5); Hungarian (4); Indonesian (4); Slovak (2); Vietnamese (1)	/Attraction_Review-g186338-d188901-Reviews-Harrods-London_England.html
24	School Of Rock The Musical	#42	5.0 	467	166 Drury Lane | New London Theatre, London WC2B 5PF, England	166 Drury Lane	London WC2B 5PF, 	 Theaters, Concerts & Shows	+44 844 811 0052	Suggested Duration: 1-2 hours	"missing"	Covent Garden	"missing"	talented kids; new london theatre; lead actor; andrew lloyd webber; jack black; young musicians; musical instruments; talented cast; high energy; all ages; cheap tickets; small theatre; west end; great seats; standing ovation; dress circle; great theatre	English (434); Spanish (7); French (6); German (4); Italian (4); Russian (3); Swedish (3); Danish (1); Dutch (1); Finnish (1); Greek (1); Japanese (1); Korean (1)	/Attraction_Review-g186338-d11978522-Reviews-School_Of_Rock_The_Musical-London_England.html
25	Up at The O2	#43	4.5	4,689	The O2, London SE10 0DX, England	The O2	London SE10 0DX, 	 Observation Decks & Towers, Sights & Landmarks	+44 20 8463 2680	"missing"	"missing"	Greenwich	"missing"	safety briefing; viewing platform; sunset climb; climbing shoes; safety talk; great fun; take photos; coming down; scared of heights; brilliant experience; canary wharf; birthday present; great guide; views are amazing; own pace; unique experience; london skyline	English (4,489); Chinese (Trad.) (87); Portuguese (49); Spanish (30); Italian (26); French (20); Russian (14); Japanese (12); Dutch (11); German (9); Polish (8); Danish (7); Norwegian (5); Korean (3); Swedish (3); Arabic (2); Greek (2); Finnish (1); Hebrew (1)	/Attraction_Review-g186338-d3263267-Reviews-Up_at_The_O2-London_England.html
26	The All England Lawn Tennis Club	#45	4.5	1,325	Church Road | Wimbledon, London SW19 5AE, England	Church Road	London SW19 5AE, 	 Arenas & Stadiums, Sports Complexes, Fun & Games, Sights & Landmarks	+44 20 8946 2244	"missing"	"missing"	"missing"	"missing"	henman hill; centre court tickets; andy murray; semi finals; wimbledon station; murray mound; outer courts; quarter finals; public ballot; wimbledon fortnight; interview room; visit wimbledon; behind the scenes; press room; district line; bucket list; guided tour	English (1,100); Chinese (Trad.) (67); Spanish (56); Italian (45); Portuguese (39); Japanese (17); Russian (16); French (12); German (11); Dutch (10); Korean (5); Danish (2); Polish (2); Arabic (1); Greek (1); Hungarian (1); Indonesian (1); Serbian (1); Thai (1)	/Attraction_Review-g186338-d523737-Reviews-The_All_England_Lawn_Tennis_Club-London_England.html
