num	attraction	duration	hours	description
16	Regent's Park	Suggested Duration: 1-2 hours	Closed Now Sun - Sat5:00 AM - 9:00 PMHours Hours Today: 5:00 AM - 9:00 PM	Originally a royal hunting ground, this scenic park is a popular recreation area offering an artificial lake, tennis courts, cricket ground, children's playgrounds and the London Zoo, which lies on the north side of the park.
17	Two Temple Place	"missing"	"missing"	"missing"
18	Abraham Lincoln: The Man	Suggested Duration: < 1 hour	"missing"	"missing"
19	Hampstead Heath	"missing"	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
20	Sipsmith Distillery	Suggested Duration: 1-2 hours	"missing"	"missing"
21	The Magic Circle	"missing"	"missing"	The Magic Circle Headquarters is home to the world's premier magical society, The Magic Circle. It also houses a theatre, museum and entertainment space. We regularly hold events and open days for the public including History and Mystery at The Magic Circle, At Home with The Magic Circle, Close-up at The Magic Circle and The Magic Circle Christmas Show. Admission to these events is by advance booking only. Note The Magic Circle HQ is not open for casual visits.
22	Greenwich Park	"missing"	Closed Now Sun - Sat6:00 AM - 9:00 PMHours Hours Today: 6:00 AM - 9:00 PM	"missing"
23	Gods Own Junkyard	"missing"	Closed Fri - Sun11:00 AM - 5:00 PMHours Hours Today: Closed	"missing"
24	Westminster	"missing"	"missing"	"missing"
170	Paddington Station	"missing"	"missing"	"missing"
25	Wimbledon Lawn Tennis Museum	Suggested Duration: 2-3 hours	Closed Now Sun - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
26	Arsenal Stadium Tours & Museum	"missing"	Closed Now Sun10:00 AM - 3:00 PMMon - Sat9:30 AM - 5:00 PMHours Hours Today: 9:30 AM - 5:00 PM	"Go behind the scenes at Arsenal Football Club with the Emirates Stadium Tour. Take your seat in the changing room, walk down the tunnel, sit in the dugout and imagine the roar of 60,000 fans.
Tours open daily(Closed Matchdays). Tours available in 9 languages."
27	Madame Tussauds London	Suggested Duration: 2-3 hours	Closed Now Mon - Thu10:00 AM - 4:00 PMFri - Sun9:00 AM - 4:00 PMHours Hours Today: 10:00 AM - 4:00 PM	"STARDOM awaits you! Step into the spotlight as you accept your exclusive invitation to Madame Tussauds London, the home of famous fun in the capital.
Join your favourite celebs at the ULTIMATE A-list party, strut your stuff on the catwalk with Cara, take the hot seat alongside will.i.am in The Voice Experience or join the Royal Family on the iconic balcony. Test your bravery in Alien: Escape then explore the jungles of Kong: Skull Island. Hail a London cab and journey through 400 years of the capital’s history before joining the Marvel Super Heroes for a crime-fighting adventure. Then use the force to be transported to a galaxy far, far away and star in the action with the greats of the Star Wars universe.
So what are you waiting for? COME ON IN!"
28	Holland Park	"missing"	"missing"	Situated west of Kensington Gardens, this city park is particularly attractive in the spring when tulips are in full bloom, and in summer when performances are staged at the open-air theater.
29	Primrose Hill	"missing"	"missing"	"missing"
30	Freemasons' Hall	"missing"	"missing"	"missing"
31	Emirates Stadium	"missing"	"missing"	"missing"
32	St. Dunstan in the East	Suggested Duration: < 1 hour	"missing"	"missing"
33	Abbey Mills Pumping Station	"missing"	"missing"	"missing"
34	Chelsea Physic Garden	"missing"	Closed Now Sun11:00 AM - 6:00 PMTue - Fri11:00 AM - 6:00 PMHours Hours Today: 11:00 AM - 6:00 PM	"missing"
35	Battersea Park	"missing"	Closed Now Sun - Sat6:30 AM - 10:30 PMHours Hours Today: 6:30 AM - 10:30 PM	"missing"
36	The Minema	"missing"	"missing"	"missing"
37	Hampstead	"missing"	"missing"	This charming town lies northwest of London and features many popular attractions including the Sigmund Freud Museum, Fenton House and John Keats' House.
38	Noel Coward Theatre	"missing"	Closed Now Mon - Sat10:00 AM - 8:00 PMHours Hours Today: 10:00 AM - 8:00 PM	"missing"
39	Grant Museum of Zoology	"missing"	Closed Now Mon - Sat1:00 PM - 5:00 PMHours Hours Today: 1:00 PM - 5:00 PM	The Grant Museum is the only remaining university zoological museum in London. It houses around 67,000 specimens, covering the whole of the Animal Kingdom. Founded in 1827 as a teaching collection, the Museum is packed full of skeletons, mounted animals and specimens preserved in fluid. Many of the species are now endangered or extinct including the Tasmanian Tiger or Thylacine, the Quagga, and the Dodo. The Museum relocated to a new larger space on March 2011.
40	City of London Cemetery and Crematorium	"missing"	"missing"	"missing"
41	Maltby Street Market	"missing"	Closed Sun11:00 AM - 4:00 PMSat9:00 AM - 4:00 PMHours Hours Today: Closed	"missing"
42	Temple Church	"missing"	Closed Now Mon - Tue10:00 AM - 4:00 PMWed - Fri2:00 PM - 4:00 PMHours Hours Today: 10:00 AM - 4:00 PM	"missing"
43	Pop Brixton	Suggested Duration: 1-2 hours	"missing"	"missing"
44	Guildhall Art Gallery	"missing"	Closed Now Sun12:00 PM - 4:00 PMMon - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
45	Royal Court Theatre	"missing"	"missing"	"missing"
46	Novello Theatre	"missing"	"missing"	"missing"
47	Kyoto Garden	"missing"	"missing"	"missing"
48	The Queen's Walk	"missing"	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
49	Apollo Theatre	"missing"	"missing"	"missing"
50	Old Operating Theatre	Suggested Duration: 1-2 hours	Closed Now Sun - Sat10:30 AM - 5:00 PMHours Hours Today: 10:30 AM - 5:00 PM	The Old Operating Theatre Museum and Herb Garret is one of the most unusual Museums in London. It is in quite an amazing location - in the attic of an English Baroque church which was used as a Herb Garret, and later on converted into an Operating Theatre in the 19th century.
51	Regent's Park Open Air Theatre	Suggested Duration: 2-3 hours	"missing"	"missing"
52	Prince Edward Theatre	"missing"	"missing"	"missing"
53	Graffik Gallery	"missing"	Closed Now Sun - Sat11:00 AM - 6:30 PMHours Hours Today: 11:00 AM - 6:30 PM	Graffik Gallery has a reputation for being the capitals prime street art destination. The gallery has carved a master status in the movements and trends of the urban art genre. The gallery has an unparalleled ability to foresee emerging talent and exhibits the elite within the realm of street art. Industry recognized Banksy specialists with a continuous inventory of the most recent or sought after works staples Graffik as the go-to gallery for urban art. Graffik Gallery has full exclusivity with a number of artists that they represent. On display you can view works by Banksy, Dotmaster, Stik, Alec Monopoly, Clet and Robin Coleman. Private viewings can be arranged for secondary market works from Warhol to Basquiat. Graffik Gallery does not cater purely for the art collector they open up their doors to the art world by offering tailored graffiti workshop events which allows anyone to submerge themselves in this amazing culture. To date Graffik Gallery is proud to have hosted an extraordinary client list of internationally renowned companies. The expertise of Graffik and its team is down to its insight and being at the forefront of this industry, they were the first street art gallery in West London and the first to bring the graffiti workshops to the world.
54	Church of St. Bartholomew the Great	Suggested Duration: < 1 hour	Closed Now Sun12:30 PM - 4:00 PMMon - Fri8:30 AM - 5:00 PMSat10:30 AM - 4:00 PMHours Hours Today: 8:30 AM - 5:00 PM	"missing"
55	Lyceum Theatre	Suggested Duration: 2-3 hours	"missing"	"missing"
56	Postman's Park	"missing"	"missing"	"missing"
57	Guildhall	Suggested Duration: 1-2 hours	Closed Now Sun12:00 PM - 4:00 PMMon - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
58	London Mithraeum	"missing"	Closed Now Sun12:00 PM - 5:00 PMTue - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"
59	Broadway Market	"missing"	Closed Sat9:00 AM - 5:00 PMHours Hours Today: Closed	"missing"
60	Petrie Museum of Egyptian Archaeology	Suggested Duration: 1-2 hours	Closed Now Tue - Sat1:00 PM - 5:00 PMHours Hours Today: 1:00 PM - 5:00 PM	"missing"
61	St George’s Church	"missing"	"missing"	"missing"
171	St Helen's Bishopsgate Church	"missing"	Closed Now Mon - Fri9:30 AM - 5:00 PMHours Hours Today: 9:30 AM - 5:00 PM	"missing"
422	Docklands	"missing"	"missing"	"missing"
62	Wimbledon	"missing"	"missing"	Wimbledon is one of the most famous and oldest tennis tournaments in the wolrd, having been held at the all England club in Wimbledon, London since 1877. The tournament lasts for two weeks from Late June to early July. The events consist of ladies and mens singles and doubles and also mixed doubles. There are also junior and disabled categories. Tickets range from £30- £180 depending on the court you sit in and the match i.e. semi final/final etc. It advised to book well in advance as some events are in high demand.
63	Royal Courts of Justice	Suggested Duration: 1-2 hours	Closed Now Mon - Fri10:00 AM - 4:30 PMHours Hours Today: 10:00 AM - 4:30 PM	The Royal Courts of Justice are an attraction well worth a visit. Close enough to Parliament, the Temple and The City. With stunning Victorian architecture, a small costume exhibition. The courts were designed by George Edmund Street and took more than eight years to complete throughout the 1870s. The courts were opened in an official ceremony by Queen Victoria on December 4th, 1882.
64	West End	"missing"	"missing"	"missing"
65	Thames River	"missing"	"missing"	"missing"
66	The UK Supreme Court	"missing"	Closed Now Mon - Fri9:30 AM - 4:30 PMHours Hours Today: 9:30 AM - 4:30 PM	"missing"
67	Southwark Cathedral	"missing"	Closed Now Mon - Fri8:00 AM - 6:00 PMSat - Sun8:30 AM - 6:00 PMHours Hours Today: 8:00 AM - 6:00 PM	"missing"
68	The Fan Museum	"missing"	Closed Now Sun12:00 PM - 5:00 PMTue - Sat11:00 AM - 5:00 PMHours Hours Today: 11:00 AM - 5:00 PM	The Fan Museum is currently closed to the public and reopens on Tuesday 23 January 2018 with a new exhibition on eighteenth century printed fans.
69	18 Stafford Terrace - The Sambourne Family Home	"missing"	Closed Wed11:00 AM - 12:15 PM2:00 PM - 5:00 PMSat - Sun11:00 AM - 12:15 PM2:00 PM - 5:00 PMHours Hours Today: Closed	"missing"
70	Saatchi Gallery	Suggested Duration: 2-3 hours	Closed Now Sun - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	Contemporary art from unknown designers and artists from all over the world
71	Brompton Cemetery	"missing"	Closed Now Sun - Sat8:00 AM - 8:00 PMHours Hours Today: 8:00 AM - 8:00 PM	"missing"
72	Gielgud Theatre	"missing"	"missing"	"missing"
73	Italian Gardens	"missing"	"missing"	"missing"
74	The Museum of the Order of St John	"missing"	Closed Now Mon - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
75	Regent Street	"missing"	"missing"	"missing"
76	Camden Locks Canalside	"missing"	"missing"	"missing"
77	Crossrail Place Roof Garden	Suggested Duration: 1-2 hours	"missing"	"missing"
78	Eltham Palace and Gardens	Suggested Duration: 1-2 hours	Closed Now Sun - Sat10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	"missing"
79	Vauxhall Bridge	"missing"	"missing"	"This bridge features a bronze female statue representing '"Architecture'" holding a model of Saint Paul''s Cathedral."
80	Victoria Palace Theatre	"missing"	"missing"	"missing"
81	London Coliseum	"missing"	"missing"	"missing"
82	Savoy Theatre	"missing"	Closed Now Mon - Sat10:00 AM - 11:00 PMHours Hours Today: 10:00 AM - 11:00 PM	The Savoy Theatre is currently home to Gypsy which stars Imelda Staunton, Lara Pulver and Peter Davison. Don't miss Gypsy, one of the greatest ever Broadway musicals, as it transfers to the West End following its sell-out, rapturously acclaimed five-star run at Chichester Festival Theatre. Imelda Staunton delivers a 'knock-out performance' (The Independent) as Momma Rose in Jonathan Kent's 'dazzling revival' (Mail on Sunday), alongside Lara Pulver, who reprises her 'stunning' (The Independent) role as Louise. They'll be joined by Peter Davison as Herb, in this gloriously entertaining musical fable that features 'showstopping' (Mail on Sunday) choreography from Stephen Mear. Based on the true life memoirs of legendary burlesque entertainer, Gypsy Rose Lee, it tells the tale of Momma Rose and her two daughters, Baby June and Louise, trekking across America in their family vaudeville act. But times are changing, audiences are expecting more, and the two girls have their own ambitions in mind. The rise of burlesque is upon them, and nothing will ever be the same again for Momma Rose. With lyrics by Stephen Sondheim, book by Arthur Laurents and music by Jule Styne, this moving and 'scintillating' (The Times) production of Gypsy is the first to be seen in London for 40 years.
83	Royal Academy of Arts	"missing"	Closed Now Fri10:00 AM - 10:00 PMSat - Thu10:00 AM - 6:00 PMHours Hours Today: 10:00 AM - 6:00 PM	Founded in 1768, this thriving center of artistic excellence is the oldest fine arts institution in Britain, whose exhibitions attract over a million people each year.
84	Cutty Sark	Suggested Duration: 1-2 hours	Closed Now Sun - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
85	Apollo Victoria Theatre	"missing"	"missing"	"missing"
86	Dulwich Picture Gallery	"missing"	Closed Now Tue - Fri10:00 AM - 5:00 PMSat - Sun11:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
87	Regent's Canal	"missing"	"missing"	"missing"
88	St. Christopher's Place	"missing"	"missing"	"missing"
89	Newport Street Gallery	Suggested Duration: 1-2 hours	"missing"	"missing"
90	Duke of York's Theatre	"missing"	"missing"	"missing"
91	Criterion Theatre	"missing"	"missing"	"missing"
92	Lego Shop	"missing"	Closed Now Sun12:00 PM - 6:00 PMMon - Sat10:00 AM - 10:00 PMHours Hours Today: 10:00 AM - 10:00 PM	"missing"
93	Brick Lane Market	Suggested Duration: 1-2 hours	"missing"	"missing"
94	Soho	"missing"	"missing"	"missing"
95	Victoria Embankment Gardens	"missing"	Closed Now Sun9:00 AM - 8:30 PMMon - Sat7:30 AM - 8:30 PMHours Hours Today: 7:30 AM - 8:30 PM	"missing"
96	Leake Street Tunnel	"missing"	"missing"	"missing"
97	Menier Chocolate Factory	"missing"	Closed Now Sun12:00 PM - 3:30 PMMon10:00 AM - 5:00 PMTue - Fri10:00 AM - 11:00 PMSat12:00 PM - 11:00 PMHours Hours Today: 10:00 AM - 11:00 PM	"missing"
98	ArcelorMittal Orbit	Suggested Duration: 1-2 hours	Closed Now Mon - Fri11:00 AM - 5:00 PMSat - Sun10:00 AM - 6:00 PMHours Hours Today: 11:00 AM - 5:00 PM	"missing"
99	Tardis Police Box	"missing"	"missing"	"missing"
100	30 St Mary Axe (The Gherkin)	"missing"	"missing"	"missing"
101	Battle of Britain Monument	Suggested Duration: 1-2 hours	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	The Battle of Britain Monument in London is a superb monument to The Few - commemorating those people who took part in this vital battle of the Second World War.
102	Canary Wharf	"missing"	"missing"	"missing"
172	Greenwich Foot Tunnel	"missing"	"missing"	"missing"
174	Lyric Hammersmith	"missing"	Closed Now Mon - Fri9:30 AM - 11:00 PMSat - Sun10:00 AM - 11:00 PMHours Hours Today: 9:30 AM - 11:00 PM	"missing"
269	Crossbones Graveyard	"missing"	"missing"	"missing"
103	Urban Food Fest	"missing"	"missing"	Urban Food Fest street food and bar night markets take place at the Euro Car Parks Shoreditch, London. Every Urban Food Fest market features 15 street food trucks and stalls that change each week. Global gourmet street food is served alongside a premium bar and cocktail bar with craft beers, cider, Urban cocktails, international wines, prosecco, plus live music and seating.
104	St. Martins Theatre	"missing"	Closed Now Mon - Sat10:00 AM - 8:30 PMHours Hours Today: 10:00 AM - 8:30 PM	"missing"
105	Westminster Bridge	"missing"	"missing"	"missing"
106	Queen Mary's Gardens	"missing"	"missing"	Lovely formal rose gardens located within Regent's Park, which feature visual delights such as a rock garden, statues, fountains and waterfalls.
107	Green Park	"missing"	"missing"	"missing"
108	Victoria Embankment	"missing"	"missing"	"missing"
109	Harold Pinter Theatre	"missing"	"missing"	Take the Piccadilly Circus Underground to this laugh-a-minute comedy night spot.
110	Severndroog Castle	Suggested Duration: 1-2 hours	Closed Sun12:30 PM - 4:30 PMThu - Fri12:30 PM - 4:30 PMHours Hours Today: Closed	18th century gothic tower built by a heartbroken widow, high on a hill, in an ancient bluebell wood. Open Thurs, Fri and Sun, see below for times. The top of the castle is 151 meters (496 feet) above sea level It is one of south-east London's highest points and offers a stunning view across London and seven different counties. You can also tour the rest of the building and learn about its history. We also host recitals, concerts, weddings and parties.
111	Piccadilly Theatre	Suggested Duration: 2-3 hours	Closed Now Sun9:00 AM - 9:00 PMMon10:00 AM - 6:00 PMTue - Sat10:00 AM - 11:00 PMHours Hours Today: 10:00 AM - 11:00 PM	"missing"
112	Shaftsbury Theatre	Suggested Duration: 2-3 hours	"missing"	"missing"
113	The Mall	"missing"	"missing"	"missing"
114	One New Change	Suggested Duration: 1-2 hours	Closed Now Sun12:00 PM - 6:00 PMMon - Fri8:00 AM - 8:00 PMSat10:00 AM - 6:00 PMHours Hours Today: 8:00 AM - 8:00 PM	One New Change is London’s newest shopping destination, complete with cafés and restaurants from renowned chefs and flagship menswear and womenswear fashion brands, all set overlooking London’s most famous landmark, St. Paul’s Cathedral. The shopping centre also boasts a unique roof-top terrace with incredible views of London.
115	Horniman Museum and Gardens	Suggested Duration: More than 3 hours	Closed Now Sun - Sat10:00 AM - 5:30 PMHours Hours Today: 10:00 AM - 5:30 PM	The Horniman Museum and Gardens is an inspiring, surprising, family-friendly, free attraction in South London’s Forest Hill.The Museum has been open since Victorian times, when Frederick John Horniman first opened his house and extraordinary collection of objects to visitors. Since then, the collection has grown tenfold and includes internationally important collections of anthropology and musical instruments, as well as an acclaimed aquarium and natural history collection.Unusually for such an important museum, you can see the collection up-close and face-to-face. You can even pick up, try on and play with some objects.Visitors come time and again to explore this free museum, take part in our activities and enjoy the 16-acre gardens.
116	Cenotaph	"missing"	"missing"	"missing"
117	Queen Victoria Memorial	Suggested Duration: < 1 hour	"missing"	"missing"
118	Southwark	"missing"	"missing"	"missing"
119	Palace Theatre	"missing"	"missing"	"missing"
120	Westfield London	"missing"	Closed Now Sun12:00 PM - 6:00 PMMon - Sat10:00 AM - 10:00 PMHours Hours Today: 10:00 AM - 10:00 PM	Unlike its Stratford branch, the original Westfield has a special wing, The Village, devoted to 30+ luxury brands like Louis Vuitton and Prada, plus the usual mall staples, restaurants, and a cinema.
121	BFI Southbank	"missing"	"missing"	"missing"
122	Whitehall	"missing"	"missing"	"missing"
123	The Burghers of Calais Statue	Suggested Duration: < 1 hour	Open Now Sun - Sat12:00 AM - 11:59 PMHours Hours Today: 12:00 AM - 11:59 PM	"missing"
124	Parliament Square	"missing"	"missing"	"missing"
125	Royal Observatory Greenwich	"missing"	Closed Now Sun - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	The prime meridian, zero degrees longitude, runs through the courtyard of the Royal Observatory in Greenwich, England, which was founded in 1675 by King Charles II.
126	RHS Chelsea Flower Show	"missing"	"missing"	"missing"
127	Inns of Court	Suggested Duration: 2-3 hours	"missing"	"missing"
128	King's Cross Station	"missing"	"missing"	"missing"
129	Beefeater Gin Distillery	"missing"	"missing"	"One of London''s best kept secrets has opened its doors to visitors. Beefeater London: The Home of Gin, the capital''s first dedicated gin distillery visitor centre, lifts the lid on the extraordinary stories and events behind one of the world''s favourite spirits.
Beefeater Gin, is the only historic dry gin still distilled in the capital city and, as such, is uniquely qualified to tell the remarkable story of the history and production of gin in London. The interactive self-guided tour takes visitors on an enthralling journey through the history of gin in London. Discover how international politics, exotic imports from the British Empire, an era of Victorian entrepreneurs and some savvy American barmen made gin the world''s favourite cocktail spirit. Learn how James Burrough created the award-winning Beefeater Gin, cementing it as a true icon of London. The tour continues with a guided walk through the live production process in the distillery''s cathedral-like still house and allows fans of the spirit to get up close and personal with the fragrant botanicals used in the creation of the gin. The experience culminates with a complimentary drink - the classic Beefeater Gin and Tonic.
All under 18''s must be accompanied by an adult, Proof of ID may be required on entrance to the tour, Under 18s will be offered a complimentary soft drink. Online booking is recommended however walk-ins are welcome subject to availability."
130	Animals in War Memorial	"missing"	"missing"	"missing"
131	Carlyle's House	"missing"	Closed Wed - Sun11:00 AM - 5:00 PMHours Hours Today: Closed	"missing"
132	Piccadilly Circus	"missing"	"missing"	Located at the junction of five busy streets, this famous London landmark blazes with neon displays, which serve as a colorful backdrop to a bronze fountain topped by a figure of a winged archer.
133	Burlington Arcade	"missing"	Closed Now Sun11:00 AM - 5:00 PMMon - Fri10:00 AM - 7:00 PMSat9:00 AM - 6:30 PMHours Hours Today: 10:00 AM - 7:00 PM	"missing"
134	Leicester Square	Suggested Duration: 1-2 hours	"missing"	Located right in the heart of London's West End, this busy square is within easy walking distance to many of London's top theaters, the café society and nightlife delights of Soho.
135	Granary Square	"missing"	"missing"	"missing"
173	Peter Pan Statue	"missing"	Closed Now Sun - Sat6:00 AM - 5:00 PMHours Hours Today: 6:00 AM - 5:00 PM	"missing"
175	Southbank Centre Food Markets	Suggested Duration: 1-2 hours	"missing"	"missing"
136	Carnaby Street	Suggested Duration: 2-3 hours	"missing"	Carnaby is a unique shopping and dining destination in the heart of London's West End, with over 150 brands, boutiques, concept stores and flagships, and 60 independent restaurants, bars and cafés found across 14 streets, including the world famous Carnaby Street. Discover an intriguing mix of global brands and independent stores, just 1 minute away from Oxford Street and Regent Street, as well as heritage labels, new designer names and an extensive choice of places to eat and drink, including British pubs with real ale and real history. Head to Kingly Court, a vibrant 3 storey courtyard, home to over 20 independent restaurants and 15 cuisines offering cheap eats to a la carte dining. The Newburgh Quarter, found just off Carnaby Street, is a quaint cobbled area where independent street boutiques, London pubs and heritage brands can be discovered.
137	Crystal Palace Park	"missing"	"missing"	"missing"
138	Boleyn Ground	"missing"	"missing"	"missing"
139	Guards Museum	Suggested Duration: 1-2 hours	Closed Now Sun - Sat10:00 AM - 4:00 PMHours Hours Today: 10:00 AM - 4:00 PM	"missing"
140	Kensington	"missing"	"missing"	"missing"
141	Marylebone	"missing"	"missing"	"missing"
142	King's Cross Theatre	"missing"	"missing"	"missing"
143	Cardinal Place	"missing"	"missing"	"missing"
144	Peter Harrison Planetarium	"missing"	Closed Now Sun - Sat10:00 AM - 5:00 PMHours Hours Today: 10:00 AM - 5:00 PM	"missing"
145	Horse Guards Building	"missing"	"missing"	"missing"
146	Hippodrome Casino	Suggested Duration: 1-2 hours	"missing"	The UK's largest and most popular casino. No membership, walk in freely, open 24/7, 6 bars, Pokerstars cash poker deck, award-winning Heliot Steak House, cabaret theatre, 2 smoking terraces & 3 floors of gambling. Great fun for gamblers and people just out for a good time. Shows all the best American sports, including all NFL games. International Vegas style regulations. The Hippodrome is one of the most widely recognised entertainment landmarks in the capital. Originally a variety theatre and home to the world-renowned Talk Of The Town, it is now the most famous casino and entertainment venue in the country and recently won Best Casino Operator in Europe 2015. A £50m renovation reinstated many of the theatre's original Edwardian architectural features, creating a unique venue that combines four floors of world class casino gaming with live theatre, an award winning steak house, six bars and a two tier smoking terrace. Since its opening in July 2012 the Hippodrome has attracted 5 million visitors, a combination of dedicated and casual gamers, theatregoers, business and tourist audiences and those keen to view one of the most spectacular venues in London. It is testament to the success of the Hippodrome that it was the venue pop superstar Prince chose to play his final UK gig in his 2014 tour.
147	Dennis Severs' House	"missing"	Closed Sun12:00 PM - 4:00 PMMon12:00 PM - 2:00 PM6:00 PM - 9:00 PMWed6:00 PM - 9:00 PMFri6:00 PM - 9:00 PMHours Hours Today: Closed	Dennis Severs' House offers a glimpse into 18th-century (Georgian-era) life in England.
148	The New Wimbledon Theatre	"missing"	"missing"	"missing"
149	The London Oratory	"missing"	Closed Now Sun - Sat6:30 AM - 8:00 PMHours Hours Today: 6:30 AM - 8:00 PM	"missing"
